Year,Country,POVERTY50,forceddisplacment,violentconflict,GIIgender,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,arms1,cpa,elections,Poverty50,forceddisplacment,violentconflict,GII,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,Arms trade (1),cpa,elections,Need,Global System,Public Spirited,sum of ranks,Rank,Rank change,Rank change (string),Story 1,Story 2
2016,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.863176223,4.849016882,3.996560837,10.70875394,26,1,+,n/a,n/a
2016,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066670615,4.18085156,5.226981425,12.4745036,24,-4,-,n/a,n/a
2016,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.998936989,8.127722268,8.550314186,23.67697344,4,6,+,n/a,n/a
2016,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.654989571,7.364289551,7.724375043,19.74365417,15,-4,-,n/a,n/a
2016,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.241464449,9.128932012,8.68224088,25.05263734,2,-1,-,n/a,n/a
2016,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48227928,9.352616594,7.540609272,24.37550515,3,0,0,n/a,n/a
2017,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.223326544,6.579662368,8.721730171,20.52471908,11,-1,-,n/a,n/a
2017,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.973689284,6.218439057,5.48188895,15.67401729,21,2,+,n/a,n/a
2017,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.432789643,5.172428621,8.520929236,20.1261475,13,-1,-,n/a,n/a
2017,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.696713715,9.109647851,7.395300085,23.20166165,5,0,0,n/a,n/a
2017,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263934811,5.210661839,4.560604561,15.03520121,23,-1,-,n/a,n/a
2017,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2902023,7.559469984,7.537295889,21.38696817,8,6,+,n/a,n/a
2017,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.054589435,8.008600765,6.875880921,20.93907112,10,-1,-,n/a,n/a
2017,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61208653,7.469694072,7.53974317,18.62152377,18,0,0,n/a,n/a
2017,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.606553522,7.144327295,7.938586105,19.68946692,15,1,+,n/a,n/a
2017,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1850667,0.555305685,4.233746116,5.974118502,29,0,0,n/a,n/a
2017,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.116943232,4.30840501,6.476304922,12.90165316,25,2,+,n/a,n/a
2017,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.962151792,7.086938213,6.129852785,20.17894279,12,1,+,n/a,n/a
2017,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6.587139705,9.845355863,26.43249557,1,0,0,n/a,n/a
2017,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.023205033,5.739533731,6.587068542,16.34980731,20,0,0,n/a,n/a
2017,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.951868939,7.132110219,7.034672483,19.11865164,17,0,0,n/a,n/a
2017,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.644333836,7.587011991,6.593260203,19.82460603,14,-3,-,n/a,n/a
2017,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.054256517,6.90043514,8.560469852,21.51516151,7,-1,-,n/a,n/a
2017,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.115633929,7.32928199,5.871291086,19.31620701,16,-8,-,n/a,n/a
2017,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55879565,7.288063997,4.063593293,14.91045294,24,1,+,n/a,n/a
2017,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.182995079,8.968906583,6.570749457,21.72265112,6,1,+,n/a,n/a
2017,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.880993856,3.554566043,4.868693129,11.30425303,26,-7,-,n/a,n/a
2017,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.656423106,4.902427982,5.068097657,15.62694875,22,-1,-,n/a,n/a
2017,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.383005711,3.23308607,2.326280054,8.942371835,28,0,0,n/a,n/a
2017,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715659376,4.81339629,4.71053059,11.23958626,27,-1,-,n/a,n/a
2017,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.310736768,5.759429157,6.542479224,17.61264515,19,5,+,n/a,n/a
2017,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.659344996,8.355055471,8.206081529,24.220482,3,1,+,n/a,n/a
2017,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.246054904,7.66733636,8.056130391,20.96952165,9,6,+,n/a,n/a
2017,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.232653703,9.399155714,8.715285611,25.34709503,2,0,0,n/a,n/a
2017,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.297945691,9.005210744,7.614295956,23.91745239,4,-1,-,n/a,n/a
2018,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.390586643,7.356673544,8.293467691,20.04072788,15,-4,-,n/a,n/a
2018,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.004399223,6.247072564,4.771048144,15.02251993,21,0,0,n/a,n/a
2018,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.316812642,5.760203377,8.265318,20.34233402,13,0,0,n/a,n/a
2018,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.478694744,8.065146159,7.605299375,22.14914028,6,-1,-,n/a,n/a
